od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
5->11,5,11,397,409,14.0,0.15,2.1,11.9,1.0,True,0.19611548457772507,0.8038845154222749,916.377684599468,834.793847882601,1001.7526174591211,163.716,166.9587695765202,False
5->12,5,12,397,410,23.0,0.15,3.4499999999999997,19.55,1.0,True,0.14144218603052675,0.8585578139694733,1325.924055106437,1207.545847882601,1449.0550174591212,170.797924456601,241.5091695765202,False
5->13,5,13,397,412,15.0,0.15,2.25,12.75,1.0,True,0.17592682200856138,0.8240731779914386,1253.1408872213628,1206.9938478826011,1448.3926174591213,212.34259184187098,241.39876957652024,False
5->14,5,14,397,414,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.16763326152089902,0.8323667384791009,1847.300887221363,1797.3496972395787,2156.8196366874945,301.295591841871,359.46993944791575,False
5->2,5,2,397,394,19.0,0.15,2.85,16.15,1.0,True,0.16191105285782384,0.8380889471421762,1449.3388453304276,1382.2586812744848,1658.7104175293819,223.802958407019,276.45173625489696,False
5->3,5,3,397,395,26.0,0.15,3.9,22.099999999999998,1.0,True,0.17503365857995568,0.8249663414200443,659.5417186418799,659.5417186418799,791.4500623702559,115.442,131.908343728376,False
5->4,5,4,397,396,18.0,0.15,2.6999999999999997,15.299999999999999,1.0,True,0.14527111867535125,0.8547288813246487,446.38604418624095,446.38604418624095,535.6632530234891,64.847,89.2772088372482,False
5->6,5,6,397,398,37.0,0.15,5.55,31.45,1.0,True,0.09787219519949678,0.9021278048005033,1151.9149676068298,1015.977604306665,1219.1731251679978,99.435958407019,203.195520861333,False
5->7,5,7,397,399,55.0,0.15,8.25,46.75,1.0,True,0.19927582835982519,0.8007241716401748,828.667451138713,828.667451138713,994.4009413664555,165.133392760492,165.7334902277426,False
5->8,5,8,397,401,5.0,0.15,0.75,4.25,0.0,False,1.0,0.0,980.735188149364,945.6463144400581,1134.7755773280696,0.0,189.12926288801162,True
5->9,5,9,397,407,13.0,0.15,1.95,11.049999999999999,1.0,True,0.11622242522334017,0.8837775747766599,946.846206408579,887.151720147505,1064.582064177006,103.106924456601,177.43034402950101,False
6->1,6,1,398,393,5.0,0.15,0.75,4.25,1.0,True,0.19912574938162006,0.8008742506183799,1410.9623692230732,1355.304169576822,1626.3650034921864,269.87595840701897,271.0608339153644,False
6->10,6,10,398,408,2.0,0.15,0.3,1.7,1.0,True,0.09730340327692087,0.9026965967230791,1691.882947293009,1478.7967692919158,1774.5561231502988,143.891958407019,295.7593538583832,False
6->11,6,11,398,409,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,1315.7369234205892,1315.7369234205892,1578.8843081047069,0.0,263.14738468411787,True
6->12,6,12,398,410,8.0,0.15,1.2,6.8,1.0,True,0.18668855273119656,0.8133114472688034,1976.8927664557114,1670.0464259198807,2004.0557111038568,311.77855024889,334.00928518397615,False
6->13,6,13,398,412,5.0,0.15,0.75,4.25,1.0,True,0.18678529811525416,0.8132147018847459,1726.9217664557113,1669.181425919881,2003.017711103857,311.77855024889,333.8362851839762,False
6->14,6,14,398,414,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.17783359052478312,0.8221664094752169,2321.0817664557117,2253.407520290963,2704.0890243491554,400.73155024889,450.6815040581926,False
6->2,6,2,398,394,24.0,0.15,3.5999999999999996,20.4,1.0,True,0.19937769704470878,0.8006223029552912,623.775887892374,623.775887892374,748.5310654708488,124.36699999999999,124.75517757847481,False
6->3,6,3,398,395,9.0,0.15,1.3499999999999999,7.6499999999999995,1.0,True,0.19608897314436596,0.803911026855634,1133.3225978762282,1095.8186733367208,1314.982408004065,214.87795840701898,219.1637346673442,False
6->4,6,4,398,396,16.0,0.15,2.4,13.6,1.0,True,0.17853603973974697,0.821463960260253,920.1669234205891,920.1669234205891,1104.200308104707,164.282958407019,184.03338468411783,False
6->5,6,5,398,397,29.0,0.15,4.35,24.65,1.0,True,0.09783750975705895,0.902162490242941,1151.9149676068303,1016.3377896057368,1219.605347526884,99.435958407019,203.2675579211474,False
6->7,6,7,398,399,37.0,0.85,31.45,5.550000000000001,1.0,True,0.19842346074902723,0.8015765392509728,1030.320943500469,1030.320943500469,1236.3851322005628,204.439847291566,206.0641887000938,False
6->8,6,8,398,401,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,0.0,2092.874301481217,1746.0858340807417,2095.30300089689,0.0,349.2171668161484,True
6->9,6,9,398,407,4.0,0.15,0.6,3.4,1.0,True,0.11194101823107128,0.8880589817689287,2098.761174015409,1809.371453505329,2171.2457442063946,202.54288286361998,361.87429070106583,False
7->1,7,1,399,393,8.0,0.15,1.2,6.8,1.0,True,0.19072683514070898,0.809273164859291,1765.8489411274377,1759.4450854958204,2111.3341025949844,335.57339276049197,351.8890170991641,False
7->10,7,10,399,408,8.0,0.15,1.2,6.8,1.0,True,0.16363580870697278,0.8363641912930272,1285.993430824892,1280.828410460021,1536.994092552025,209.589392760492,256.1656820920042,False
7->11,7,11,399,409,5.0,0.15,0.75,4.25,1.0,True,0.1989536556626649,0.8010463443373351,1662.4031357381807,1652.894447529385,1983.473337035262,328.849392760492,330.578889505877,False
7->12,7,12,399,410,11.0,0.15,1.65,9.35,1.0,True,0.18678582536576796,0.8132141746342321,2331.7793383600756,2020.902731046007,2425.083277255208,377.475984602363,404.1805462092014,False
7->13,7,13,399,412,14.0,0.15,2.1,11.9,1.0,True,0.1867862875015369,0.8132137124984631,2081.8083383600756,2020.8977310460068,2425.077277255208,377.475984602363,404.17954620920136,False
7->14,7,14,399,414,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.1784080871459812,0.8215919128540188,2675.9683383600764,2614.3937310460074,3137.2724772552087,466.428984602363,522.8787462092015,False
7->2,7,2,399,394,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.1988266076513623,0.8011733923486377,1653.7366460937708,1653.7366460937708,1984.4839753125248,328.806847291566,330.7473292187542,False
7->3,7,3,399,395,12.0,0.15,1.7999999999999998,10.2,1.0,True,0.1885322295130444,0.8114677704869556,1488.2091697805927,1488.2091697805927,1785.8510037367112,280.575392760492,297.64183395611855,False
7->4,7,4,399,396,12.0,0.15,1.7999999999999998,10.2,1.0,True,0.18036921086348642,0.8196307891365135,1275.0534953249537,1275.0534953249537,1530.0641943899443,229.98039276049198,255.01069906499075,False
7->5,7,5,399,397,42.0,0.15,6.3,35.699999999999996,1.0,True,0.19927582835982519,0.8007241716401748,828.6674511387129,828.6674511387129,994.4009413664554,165.13339276049197,165.73349022774258,False
