od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
14->3,14,3,414,395,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.0,1187.7591685794828,1171.8069999999998,1406.1683999999998,0.0,234.36139999999997
14->4,14,4,414,396,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.0,1502.0710000000001,1362.5739999999996,1635.0887999999995,0.0,272.5147999999999
14->5,14,5,414,397,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.0,1948.457044186241,1797.3496972395787,2156.8196366874945,0.0,359.46993944791575
14->6,14,6,414,398,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.01815162132534223,2323.9118639516446,2253.407520290963,2704.0890243491554,40.903,450.6815040581926
14->7,14,7,414,399,6.0,0.85,5.1,0.9000000000000001,1.0,True,0.0,2777.1244953249543,2619.5587514108774,3143.470501693053,0.0,523.9117502821755
14->9,14,9,414,407,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.0,972.5688486978579,972.5688486978579,1167.0826184374293,0.0,194.5137697395716
2->1,2,1,394,393,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.0,1230.8984555464122,1144.441642427242,1373.3299709126902,0.0,228.8883284854484
2->10,2,10,394,408,1.0,0.15,0.15,0.85,1.0,True,0.011777257195739682,2051.5783825276258,1915.641275810911,2298.7695309730934,22.561,383.12825516218226
2->11,2,11,394,409,2.0,0.15,0.3,1.7,1.0,True,0.0,1685.9963586552062,1579.5306343119837,1895.4367611743803,0.0,315.9061268623968
2->12,2,12,394,410,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.0,1796.8288527790503,1704.6526343119835,2045.5831611743802,0.0,340.93052686239673
2->13,2,13,394,412,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.0,1546.8578527790503,1546.8578527790503,1856.2294233348603,0.0,309.3715705558101
2->14,2,14,394,414,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.0,2141.0178527790504,2042.5449931413827,2451.053991769659,0.0,408.5089986282766
